IssueID;Title;SeriesNumber;Description;PublicationDate;Publisher
1;A-Force (2016) ;4;Does defeating Antimatter mean the end of Singularity? As Singularity faces Antimatter on her own, prepared to sacrifice her own existence, A-Force rallies behind her. With Tempest Bell's help, SHE-HULK, CAPTAIN MARVEL, MEDUSA, and NICO MINORU make a final bid to save Singularity from destruction while still saving the world from Antimatter's ever-growing threat. But every action has a cost, and what will these actions cost A-Force?;2016-01-14T20:26:16+02:00;Marvel
2;A-Force (2016) ;5;"""Rage, Rage Against The Dying Of The Light""ù STARTS NOW! When a massive dragon attacks a small coastal town, SHE-HULK, CAPTAIN MARVEL, MEDUSA, DAZZLER, NICO MINORU, and SINGULARITY spring into action. But this dragon is more than she seems and has her sights set on more than just one small town. In fact, she's got her sights set on one of A-FORCE. Meanwhile, Dazzler's got a big secret and the strangest ally ever is going to help them in this fight... or maybe try to arrest them.";2016-02-04T17:18:41+02:00;Marvel
3;A-Force Presents (Trade Paperback);1;;2016-01-19T16:04:21+02:00;Marvel
4;Agents of S.H.I.E.L.D. (2016) ;4;A STANDOFF tie-in! The Agents of S.H.I.E.L.D. take on the New Avengers! Plus, the world's craziest Wolverine cameo continues! Check out the book that everyone has been raving about!;2016-01-14T20:33:13+02:00;Marvel
5;All-New Hawkeye (2015) ;6;;2016-02-01T20:49:21+02:00;Marvel
6;All-New Inhumans (2015) ;6;Something in the mysterious SKYSPEAR has changed Crystal from the Inhumans leader to their greatest threat! Can The Amazing Spider-Man and the rest of the Inhumans stop a woman who controls the four elements?;2016-01-14T20:42:24+02:00;Marvel
7;All-New Inhumans (2015) ;7;AN ALL-NEW ADVENTURE STARTS NOW! The Unpredicable Anna Kravinoff (a.k.a., one of the Kraven family) joins the cast and leads Crystal and her crew to the wilds of Africa in search of a hidden Inhuman enclave that holds answers to Flint's past. Who are these isolationist Inhumans and why was Flint sent away at such a young age?! Those answers will cause the All-New Inhumans all kinds of problems.;2016-02-04T17:27:17+02:00;Marvel
8;All-New Wolverine (2015) ;7;The battle has been fought, and won! but at what cost? As Laura and Gabby attempt to move on with their lives, Wolverine's past seems destined to catch up with her, and wreak havoc. Logan's legacy has cast a long shadow, how can Laura hope to step out of it?;2016-01-20T19:51:43+02:00;Marvel
9;All-New X-Men (2015) ;7;In the wake of terrible acts committed by the adult Cyclops, mutantkind is hated and feared more than ever. And try as he might to divorce himself from his predecessor's legacy, some believe that the young Scott Summers is destined to grow up and commit those sins. Now, there's one mutant who believes that he can spare mutantkind if he prevents Scott from becoming that man. Will the young Cyclops' story end here?;2016-01-15T21:22:32+02:00;Marvel
10;All-New X-Men (2015) ;8;MUTANTS AND! MAGIC?! As young Beast continues to struggle with his new life in the present day Marvel Universe, he turns to another man of science for guidance! former surgeon and present day sorcerer supreme, Doctor Strange! But seeing as Strange has put down his scalpel to pick up a spellbook, Beast might be receiving very different answers than he was hoping for! ;2016-01-14T20:48:13+02:00;Marvel
11;All-New, All-Different Avengers (2015) ;8;A STANDOFF tie-in! Trapped in Pleasant Hill, the Avengers can't tell the heroes from the villains -- and, worse, they don't even recognize each other! How can the Avengers act like a team when they have no memory of one another?;2016-01-14T20:52:24+02:00;Marvel
12;All-New, All-Different Avengers (2015) ;9;New Story Starts NOW! Introducing the all-new Wasp! Who is she? What is she? And what does she intend to do about Earth's Mightiest Heroes?;2016-02-04T19:50:33+02:00;Marvel
13;All-New, All-Different Marvel Universe (2015) ;1;;2016-01-15T21:22:32+02:00;Marvel
14;Amazing Spider-Man (2015) ;1.4;;2016-01-15T21:22:33+02:00;Marvel
15;Amazing Spider-Man (2015) ;1.4 (Tbd Artist Variant);;2016-01-15T21:22:34+02:00;Marvel
16;Amazing Spider-Man (2015) ;10;The 13th sign of the Zodiac is THE SPIDER?!?!?! Scorpio is on the verge of controlling the future and Spider-Man's fight will take him on both sides of the English Channel. But when Scorpio compromises Parker Industries, what will this mean for Peter moving forward?!;2016-01-14T20:57:47+02:00;Marvel
17;Amazing Spider-Man (2015) ;11;The 13th sign of the Zodiac is THE SPIDER?!?!?! Scorpio is on the verge of controlling the future and Spider-Man's fight will take him on both sides of the English Channel. But when Scorpio compromises Parker Industries, what will this mean for Peter moving forward?!;2016-01-20T19:59:44+02:00;Marvel
