ComicCreatorsID,IssueID,CreatorID,CreatorRole
1,2,3,Artist
2,2,13,Artist
3,2,296,Writer
4,2,585,Writer
5,2,634,Cover Artist
6,3,46,Writer
7,3,157,Cover Artist
8,3,295,Writer
9,3,465,Artist
10,3,703,Writer
11,3,710,Artist
12,4,122,Cover Artist
13,4,203,Artist
14,4,549,Writer
15,4,800,Artist
16,4,892,Writer
17,5,43,Artist
18,5,128,Writer
19,5,295,Writer
20,5,982,Cover Artist
21,6,143,Writer
22,6,248,Artist
23,6,403,Artist
24,6,507,Cover Artist
25,6,673,Writer
26,6,948,Writer
27,7,21,Writer
28,7,113,Cover Artist
29,7,169,Artist
30,7,737,Artist
31,7,874,Writer
32,8,117,Artist
33,8,466,Writer
34,8,506,Artist
35,8,799,Cover Artist
36,8,929,Writer
37,9,112,Artist
38,9,361,Cover Artist
39,9,822,Writer
40,10,5,Writer
41,10,72,Writer
42,10,611,Cover Artist
43,10,662,Artist
44,11,147,Cover Artist
45,11,488,Artist
46,11,532,Writer
47,11,640,Artist
48,11,977,Artist
49,12,401,Writer
50,12,789,Cover Artist
51,12,995,Artist
52,13,359,Writer
53,13,639,Cover Artist
54,13,649,Artist
55,14,382,Writer
56,14,732,Artist
57,14,819,Cover Artist
58,14,966,Writer
59,14,1000,Artist
60,15,24,Cover Artist
61,15,327,Writer
62,15,545,Writer
63,15,680,Artist
64,16,367,Artist
65,16,538,Artist
66,16,659,Artist
67,16,957,Cover Artist
68,16,971,Writer
69,17,110,Artist
70,17,552,Writer
71,17,690,Artist
72,17,837,Writer
73,17,933,Cover Artist
74,17,988,Artist
75,18,419,Writer
76,18,634,Writer
77,18,738,Cover Artist
78,18,882,Artist
79,19,285,Artist
80,19,484,Artist
81,19,541,Cover Artist
82,19,711,Writer
83,19,801,Artist
84,19,859,Writer
85,20,69,Artist
86,20,301,Cover Artist
87,20,317,Writer
88,20,368,Artist
89,20,562,Writer
90,20,802,Writer
91,21,86,Artist
92,21,613,Writer
93,21,703,Artist
94,21,806,Writer
95,21,821,Cover Artist
96,22,315,Writer
97,22,358,Artist
98,22,657,Cover Artist
99,22,944,Writer
100,23,348,Cover Artist
101,23,503,Writer
102,23,644,Artist
103,23,757,Writer
104,23,850,Artist
105,24,347,Artist
106,24,409,Artist
107,24,508,Writer
108,24,629,Artist
109,24,751,Cover Artist
110,25,492,Artist
111,25,552,Cover Artist
112,25,568,Artist
113,25,599,Writer
114,25,894,Writer
115,26,158,Cover Artist
116,26,203,Artist
117,26,932,Writer
118,27,86,Artist
119,27,135,Cover Artist
120,27,476,Artist
121,27,784,Writer
122,27,862,Writer
123,28,171,Cover Artist
124,28,186,Artist
125,28,320,Artist
126,28,461,Writer
127,28,832,Writer
128,29,132,Artist
129,29,184,Cover Artist
130,29,896,Writer
131,30,310,Artist
132,30,336,Writer
133,30,361,Cover Artist
134,30,572,Artist
135,30,707,Artist
136,30,751,Writer
137,31,398,Writer
138,31,498,Artist
139,31,576,Artist
140,31,739,Cover Artist
141,31,991,Writer
142,32,212,Writer
143,32,453,Writer
144,32,535,Artist
145,32,572,Cover Artist
146,33,77,Writer
147,33,208,Artist
148,33,436,Cover Artist
149,33,989,Artist
150,33,991,Writer
151,34,197,Cover Artist
152,34,304,Artist
153,34,578,Writer
154,35,691,Writer
155,35,863,Artist
156,35,918,Cover Artist
157,35,939,Writer
158,36,47,Artist
159,36,194,Artist
160,36,239,Cover Artist
161,36,467,Writer
162,36,955,Writer
163,37,84,Artist
164,37,283,Writer
165,37,600,Writer
166,37,983,Cover Artist
167,38,14,Artist
168,38,331,Writer
169,38,357,Cover Artist
170,38,415,Artist
171,38,770,Writer
172,38,972,Artist
173,39,75,Cover Artist
174,39,704,Artist
175,39,883,Writer
176,40,120,Cover Artist
177,40,178,Artist
178,40,560,Writer
179,40,924,Artist
180,41,9,Artist
181,41,116,Writer
182,41,280,Cover Artist
183,42,95,Writer
184,42,191,Artist
185,42,192,Writer
186,42,614,Artist
187,42,892,Cover Artist
188,42,990,Writer
189,43,145,Writer
190,43,289,Artist
191,43,411,Cover Artist
192,43,419,Artist
193,43,619,Writer
194,44,91,Artist
195,44,155,Artist
196,44,473,Cover Artist
197,44,748,Writer
198,45,47,Writer
199,45,326,Cover Artist
200,45,625,Artist
201,45,679,Artist
202,45,772,Writer
203,46,25,Cover Artist
204,46,537,Writer
205,46,635,Artist
206,47,8,Artist
207,47,568,Cover Artist
208,47,573,Artist
209,47,754,Writer
210,47,924,Artist
211,48,1,Writer
212,48,143,Artist
213,48,381,Writer
214,48,492,Cover Artist
215,48,510,Artist
216,48,952,Artist
217,49,177,Writer
218,49,382,Cover Artist
219,49,982,Artist
220,50,418,Artist
221,50,482,Writer
222,50,637,Writer
223,50,939,Cover Artist
224,50,967,Artist
225,51,122,Artist
226,51,254,Cover Artist
227,51,370,Writer
228,51,397,Writer
229,51,488,Artist
230,52,220,Artist
231,52,247,Artist
232,52,286,Writer
233,52,378,Cover Artist
234,52,402,Writer
235,53,8,Artist
236,53,363,Writer
237,53,520,Cover Artist
238,53,599,Writer
239,54,116,Writer
240,54,187,Writer
241,54,274,Cover Artist
242,54,334,Writer
243,54,335,Artist
244,54,339,Artist
245,55,111,Cover Artist
246,55,120,Writer
247,55,160,Artist
248,55,246,Artist
249,55,430,Writer
250,56,6,Artist
251,56,264,Artist
252,56,348,Writer
253,56,722,Cover Artist
254,57,18,Artist
255,57,306,Writer
256,57,380,Cover Artist
257,57,469,Writer
258,57,902,Artist
259,58,93,Artist
260,58,118,Writer
261,58,918,Writer
262,58,987,Cover Artist
263,59,158,Artist
264,59,380,Cover Artist
265,59,781,Writer
266,59,915,Artist
267,59,945,Writer
268,60,86,Artist
269,60,212,Writer
270,60,213,Cover Artist
271,60,327,Writer
272,60,422,Writer
273,61,40,Artist
274,61,116,Artist
275,61,408,Writer
276,61,599,Cover Artist
277,61,824,Writer
278,62,13,Cover Artist
279,62,105,Artist
280,62,239,Artist
281,62,379,Writer
282,63,262,Writer
283,63,276,Cover Artist
284,63,469,Writer
285,63,889,Artist
286,64,191,Artist
287,64,309,Cover Artist
288,64,391,Artist
289,64,874,Writer
290,65,19,Writer
291,65,183,Writer
292,65,408,Artist
293,65,921,Cover Artist
294,66,69,Writer
295,66,220,Cover Artist
296,66,237,Artist
297,66,869,Artist
298,66,912,Writer
299,67,31,Artist
300,67,266,Cover Artist
301,67,424,Writer
302,67,558,Artist
303,68,210,Writer
304,68,384,Writer
305,68,529,Writer
306,68,614,Artist
307,68,719,Cover Artist
308,68,778,Artist
309,69,277,Artist
310,69,341,Writer
311,69,513,Artist
312,69,899,Cover Artist
313,70,206,Writer
314,70,218,Writer
315,70,397,Cover Artist
316,70,617,Artist
317,70,701,Artist
318,70,761,Artist
319,71,60,Artist
320,71,231,Artist
321,71,620,Writer
322,71,740,Cover Artist
323,71,784,Writer
324,72,93,Writer
325,72,144,Artist
326,72,240,Artist
327,72,295,Cover Artist
328,72,304,Artist
329,72,750,Writer
330,73,140,Writer
331,73,154,Writer
332,73,701,Artist
333,73,780,Cover Artist
334,73,929,Artist
335,73,945,Artist
336,74,343,Artist
337,74,385,Writer
338,74,501,Writer
339,74,562,Cover Artist
340,75,262,Cover Artist
341,75,364,Writer
342,75,803,Writer
343,75,926,Artist
344,76,365,Artist
345,76,554,Cover Artist
346,76,589,Writer
347,76,770,Writer
348,77,434,Artist
349,77,607,Writer
350,77,750,Cover Artist
351,77,930,Artist
352,78,161,Cover Artist
353,78,332,Writer
354,78,905,Writer
355,78,931,Artist
356,78,948,Artist
357,79,106,Writer
358,79,560,Writer
359,79,646,Cover Artist
360,79,689,Artist
361,79,747,Writer
362,79,984,Artist
363,80,338,Artist
364,80,429,Writer
365,80,644,Writer
366,80,818,Cover Artist
367,81,54,Artist
368,81,312,Writer
369,81,407,Artist
370,81,604,Cover Artist
371,81,724,Writer
372,81,735,Writer
373,82,5,Cover Artist
374,82,149,Artist
375,82,706,Artist
376,82,989,Writer
377,83,80,Cover Artist
378,83,239,Writer
379,83,562,Writer
380,83,731,Artist
381,83,852,Artist
382,84,2,Writer
383,84,611,Cover Artist
384,84,799,Artist
385,84,847,Artist
386,84,932,Writer
387,85,62,Cover Artist
388,85,106,Artist
389,85,747,Writer
390,85,837,Artist
391,86,23,Cover Artist
392,86,206,Artist
393,86,236,Writer
394,86,366,Writer
395,86,577,Artist
396,87,58,Cover Artist
397,87,348,Writer
398,87,714,Writer
399,87,758,Writer
400,87,840,Artist
401,88,41,Writer
402,88,206,Cover Artist
403,88,460,Writer
404,88,673,Artist
405,88,765,Artist
406,88,831,Writer
407,88,885,Artist
408,89,156,Artist
409,89,495,Writer
410,89,866,Cover Artist
411,89,912,Artist
412,89,965,Writer
413,90,56,Writer
414,90,507,Artist
415,90,525,Artist
416,90,779,Cover Artist
417,91,344,Cover Artist
418,91,388,Writer
419,91,424,Writer
420,91,447,Artist
421,91,475,Artist
422,91,631,Artist
423,92,69,Writer
424,92,130,Artist
425,92,313,Writer
426,92,570,Cover Artist
427,92,617,Artist
428,93,189,Artist
429,93,336,Artist
430,93,796,Writer
431,93,863,Cover Artist
432,93,920,Writer
433,94,56,Writer
434,94,225,Artist
435,94,507,Artist
436,94,575,Cover Artist
437,94,682,Writer
438,95,30,Artist
439,95,113,Cover Artist
440,95,318,Artist
441,95,762,Writer
442,95,916,Writer
443,96,250,Writer
444,96,326,Writer
445,96,756,Artist
446,96,944,Cover Artist
447,97,34,Writer
448,97,99,Artist
449,97,446,Artist
450,97,660,Writer
451,97,848,Cover Artist
452,97,853,Writer
453,98,420,Cover Artist
454,98,708,Writer
455,98,915,Artist
456,98,927,Artist
457,98,928,Writer
458,99,376,Cover Artist
459,99,863,Artist
460,99,906,Writer
461,100,321,Cover Artist
462,100,381,Artist
463,100,483,Artist
464,100,511,Writer
465,100,976,Writer
466,101,345,Artist
467,101,400,Artist
468,101,622,Cover Artist
469,101,812,Writer
470,102,108,Artist
471,102,286,Cover Artist
472,102,391,Artist
473,102,530,Writer
474,103,59,Artist
475,103,415,Writer
476,103,544,Cover Artist
477,103,825,Artist
478,104,307,Writer
479,104,463,Artist
480,104,677,Artist
481,104,776,Writer
482,104,848,Cover Artist
483,105,21,Writer
484,105,438,Writer
485,105,506,Artist
486,105,564,Artist
487,105,726,Cover Artist
488,106,23,Writer
489,106,149,Artist
490,106,194,Writer
491,106,761,Artist
492,106,790,Cover Artist
493,107,17,Cover Artist
494,107,175,Artist
495,107,340,Writer
496,107,578,Artist
497,107,894,Writer
498,108,360,Artist
499,108,552,Cover Artist
500,108,957,Writer
501,109,276,Writer
502,109,606,Artist
503,109,771,Cover Artist
504,109,814,Writer
505,109,923,Artist
506,110,169,Artist
507,110,503,Artist
508,110,525,Writer
509,110,745,Cover Artist
510,110,827,Writer
511,111,444,Artist
512,111,846,Writer
513,111,934,Cover Artist
514,112,76,Writer
515,112,535,Cover Artist
516,112,540,Artist
517,112,542,Artist
518,112,699,Artist
519,112,777,Writer
520,113,249,Cover Artist
521,113,505,Artist
522,113,607,Writer
523,113,741,Writer
524,114,35,Writer
525,114,47,Artist
526,114,231,Artist
527,114,500,Writer
528,114,819,Cover Artist
529,115,117,Cover Artist
530,115,639,Writer
531,115,816,Artist
532,115,893,Writer
533,116,62,Artist
534,116,249,Cover Artist
535,116,578,Artist
536,116,877,Writer
537,117,519,Cover Artist
538,117,635,Artist
539,117,654,Artist
540,117,686,Writer
541,117,821,Writer
542,118,78,Artist
543,118,225,Artist
544,118,267,Cover Artist
545,118,576,Writer
546,119,279,Writer
547,119,353,Writer
548,119,401,Cover Artist
549,119,660,Artist
550,119,910,Artist
551,120,32,Artist
552,120,318,Writer
553,120,438,Writer
554,120,714,Cover Artist
555,121,302,Cover Artist
556,121,482,Writer
557,121,547,Artist
558,121,806,Artist
559,122,138,Cover Artist
560,122,467,Writer
561,122,610,Artist
562,123,27,Artist
563,123,190,Writer
564,123,769,Cover Artist
565,123,786,Artist
566,123,961,Writer
567,124,90,Artist
568,124,162,Cover Artist
569,124,219,Writer
570,125,262,Artist
571,125,393,Writer
572,125,411,Writer
573,125,535,Cover Artist
574,125,546,Artist
575,126,9,Artist
576,126,354,Cover Artist
577,126,426,Writer
578,126,507,Writer
579,126,694,Writer
580,126,781,Artist
581,127,15,Cover Artist
582,127,57,Writer
583,127,440,Artist
584,127,509,Writer
585,127,623,Writer
586,127,880,Artist
587,128,4,Writer
588,128,254,Cover Artist
589,128,359,Writer
590,128,409,Writer
591,128,518,Artist
592,128,740,Artist
593,129,457,Writer
594,129,503,Artist
595,129,526,Cover Artist
596,129,596,Artist
597,129,601,Writer
598,129,602,Artist
599,129,723,Writer
600,130,128,Writer
601,130,394,Cover Artist
602,130,516,Artist
603,130,640,Writer
604,130,908,Writer
605,131,51,Writer
606,131,528,Artist
607,131,918,Writer
608,131,994,Cover Artist
609,132,10,Cover Artist
610,132,106,Artist
611,132,358,Writer
612,132,816,Artist
613,133,400,Writer
614,133,418,Cover Artist
615,133,528,Writer
616,133,673,Artist
617,134,21,Writer
618,134,142,Artist
619,134,154,Cover Artist
620,134,596,Writer
621,134,702,Artist
622,134,947,Artist
623,135,170,Artist
624,135,616,Cover Artist
625,135,717,Artist
626,135,735,Writer
627,136,1,Writer
628,136,7,Writer
629,136,326,Artist
630,136,545,Artist
631,136,925,Cover Artist
632,137,6,Writer
633,137,161,Cover Artist
634,137,311,Artist
635,137,474,Artist
636,137,930,Artist
637,138,571,Writer
638,138,734,Artist
639,138,750,Artist
640,138,837,Writer
641,138,899,Cover Artist
642,138,914,Writer
643,139,18,Artist
644,139,202,Writer
645,139,462,Writer
646,139,698,Writer
647,139,716,Artist
648,139,881,Cover Artist
649,140,66,Artist
650,140,352,Cover Artist
651,140,598,Artist
652,140,968,Writer
653,141,1,Writer
654,141,147,Writer
655,141,887,Artist
656,141,950,Cover Artist
657,141,978,Artist
658,142,117,Artist
659,142,519,Artist
660,142,526,Writer
661,142,550,Cover Artist
662,142,556,Writer
663,143,93,Cover Artist
664,143,121,Artist
665,143,273,Writer
666,143,720,Artist
667,144,101,Artist
668,144,721,Writer
669,144,758,Artist
670,144,822,Cover Artist
671,144,933,Writer
672,145,193,Cover Artist
673,145,238,Artist
674,145,622,Writer
675,145,720,Writer
676,145,981,Artist
677,146,134,Writer
678,146,633,Artist
679,146,721,Cover Artist
680,146,770,Artist
681,146,829,Writer
682,147,630,Artist
683,147,678,Writer
684,147,974,Cover Artist
685,148,246,Artist
686,148,251,Artist
687,148,256,Writer
688,148,357,Writer
689,148,851,Cover Artist
690,149,516,Writer
691,149,608,Writer
692,149,847,Cover Artist
693,149,848,Artist
694,150,189,Writer
695,150,596,Cover Artist
696,150,633,Artist
697,150,734,Writer
698,150,822,Artist
699,151,592,Writer
700,151,857,Writer
701,151,909,Artist
702,151,981,Cover Artist
703,152,366,Artist
704,152,468,Writer
705,152,606,Cover Artist
706,152,689,Writer
707,153,72,Cover Artist
708,153,357,Artist
709,153,664,Writer
710,153,819,Artist
