issueId;IssueID2;condition;StockAvailable;Price
hbUAIkxs01o0fvN3;1;Very Fine;6;188.03
hbUAIkxs01o0fvN3;1;Fine;0;99.14
hbUAIkxs01o0fvN3;1;Average;6;90.63
hbUAIkxs01o0fvN3;1;Poor;2;171.36
zYIVquLMzmPQTuY4;2;Very Fine;3;49.29
zYIVquLMzmPQTuY4;2;Fine;7;77.46
zYIVquLMzmPQTuY4;2;Average;8;41.98
zYIVquLMzmPQTuY4;2;Poor;0;19.54
pLMV0KvUGJlb0pkh;3;Very Fine;7;71.55
pLMV0KvUGJlb0pkh;3;Fine;6;205.88
pLMV0KvUGJlb0pkh;3;Average;8;188.87
pLMV0KvUGJlb0pkh;3;Poor;7;196.54
lqwJyxsW1Nlx84yw;4;Very Fine;2;18.38
lqwJyxsW1Nlx84yw;4;Fine;9;219.60
lqwJyxsW1Nlx84yw;4;Average;6;186.53
lqwJyxsW1Nlx84yw;4;Poor;8;9.66
ZoKhuEG4USPWb9Zq;5;Very Fine;2;58.71
ZoKhuEG4USPWb9Zq;5;Fine;8;120.28
ZoKhuEG4USPWb9Zq;5;Average;0;43.06
ZoKhuEG4USPWb9Zq;5;Poor;5;169.98
ZoKhuEG4USPWb9Zq;5;Very Fine;6;214.11
ZoKhuEG4USPWb9Zq;5;Fine;3;0.17
ZoKhuEG4USPWb9Zq;5;Average;7;120.38
ZoKhuEG4USPWb9Zq;5;Poor;2;123.04
ttzLckGhHweudmnJ;6;Very Fine;5;31.46
ttzLckGhHweudmnJ;6;Fine;9;49.21
ttzLckGhHweudmnJ;6;Average;1;188.15
ttzLckGhHweudmnJ;6;Poor;8;97.24
ttzLckGhHweudmnJ;6;Very Fine;7;207.48
ttzLckGhHweudmnJ;6;Fine;6;19.08
ttzLckGhHweudmnJ;6;Average;1;9.72
ttzLckGhHweudmnJ;6;Poor;2;205.94
ttzLckGhHweudmnJ;6;Very Fine;7;114.37
ttzLckGhHweudmnJ;6;Fine;6;39.97
ttzLckGhHweudmnJ;6;Average;4;151.16
ttzLckGhHweudmnJ;6;Poor;2;41.15
OJz3o7jdnAzMuzml;7;Very Fine;0;201.52
OJz3o7jdnAzMuzml;7;Fine;8;187.01
OJz3o7jdnAzMuzml;7;Average;1;116.12
OJz3o7jdnAzMuzml;7;Poor;6;62.72
OJz3o7jdnAzMuzml;7;Very Fine;0;90.37
OJz3o7jdnAzMuzml;7;Fine;9;110.03
OJz3o7jdnAzMuzml;7;Average;3;20.68
OJz3o7jdnAzMuzml;7;Poor;0;58.53
SX2Rj2sz5Xzqpeyv;8;Very Fine;9;221.16
SX2Rj2sz5Xzqpeyv;8;Fine;4;186.97
SX2Rj2sz5Xzqpeyv;8;Average;6;55.48
SX2Rj2sz5Xzqpeyv;8;Poor;5;161.79
GDP867jNbqiDxgIu;9;Very Fine;4;159.12
GDP867jNbqiDxgIu;9;Fine;2;142.56
GDP867jNbqiDxgIu;9;Average;9;146.49
GDP867jNbqiDxgIu;9;Poor;1;180.41
4D20n1N1A0RXvBpq;10;Very Fine;7;75.09
4D20n1N1A0RXvBpq;10;Fine;5;69.30
4D20n1N1A0RXvBpq;10;Average;8;53.24
4D20n1N1A0RXvBpq;10;Poor;0;231.78
SHZsH9VZV3I8Hgn5;11;Very Fine;2;77.16
SHZsH9VZV3I8Hgn5;11;Fine;2;172.46
SHZsH9VZV3I8Hgn5;11;Average;3;52.97
SHZsH9VZV3I8Hgn5;11;Poor;8;133.68
eYO1vQAoGp214sA4;12;Very Fine;4;175.30
eYO1vQAoGp214sA4;12;Fine;1;2.20
eYO1vQAoGp214sA4;12;Average;0;205.78
eYO1vQAoGp214sA4;12;Poor;6;220.60
4pBcfvjCDmANFPOP;13;Very Fine;7;145.48
4pBcfvjCDmANFPOP;13;Fine;8;24.68
4pBcfvjCDmANFPOP;13;Average;5;65.84
4pBcfvjCDmANFPOP;13;Poor;0;236.81
toQWT6cU45powTvB;14;Very Fine;7;39.12
toQWT6cU45powTvB;14;Fine;3;157.66
toQWT6cU45powTvB;14;Average;0;171.86
toQWT6cU45powTvB;14;Poor;4;44.16
toQWT6cU45powTvB;14;;8;96.42
toQWT6cU45powTvB;14;;3;181.70
W4NhOxe5YRhmmuRb;15;Very Fine;0;177.10
W4NhOxe5YRhmmuRb;15;Fine;3;74.02
W4NhOxe5YRhmmuRb;15;Average;4;37.96
W4NhOxe5YRhmmuRb;15;Poor;0;52.51
W4NhOxe5YRhmmuRb;15;;8;4.10
W4NhOxe5YRhmmuRb;15;;1;226.20
W4NhOxe5YRhmmuRb;15;;4;124.54
W4NhOxe5YRhmmuRb;15;;7;224.28
W4NhOxe5YRhmmuRb;15;;1;84.45
W4NhOxe5YRhmmuRb;15;;7;95.28
Kc3tpVwC0wN3mbfc;16;Very Fine;7;216.55
Kc3tpVwC0wN3mbfc;16;Fine;4;162.84
Kc3tpVwC0wN3mbfc;16;Average;0;7.73
Kc3tpVwC0wN3mbfc;16;Poor;6;88.84
MpUWb5UnDYKQaDFL;17;Very Fine;1;102.82
MpUWb5UnDYKQaDFL;17;Fine;5;31.22
MpUWb5UnDYKQaDFL;17;Average;8;102.78
MpUWb5UnDYKQaDFL;17;Poor;5;30.42
udAy3mHeU1QOtSAY;18;Very Fine;6;100.49
udAy3mHeU1QOtSAY;18;Fine;4;178.60
udAy3mHeU1QOtSAY;18;Average;4;215.49
udAy3mHeU1QOtSAY;18;Poor;3;157.35
udAy3mHeU1QOtSAY;18;Very Fine;9;182.74
udAy3mHeU1QOtSAY;18;Fine;0;25.59
udAy3mHeU1QOtSAY;18;Average;0;223.28
udAy3mHeU1QOtSAY;18;Poor;6;223.86
YYySP9EWvx2FR4Qu;19;Very Fine;1;102.81
YYySP9EWvx2FR4Qu;19;Fine;2;69.04
YYySP9EWvx2FR4Qu;19;Average;8;225.71
YYySP9EWvx2FR4Qu;19;Poor;4;244.59
3z3IV5PUhHG6MGuO;20;Very Fine;7;35.67
3z3IV5PUhHG6MGuO;20;Fine;3;183.26
3z3IV5PUhHG6MGuO;20;Average;2;107.78
3z3IV5PUhHG6MGuO;20;Poor;2;192.57
CHzUjaBUAfFGxZwb;21;Very Fine;5;50.85
CHzUjaBUAfFGxZwb;21;Fine;9;201.88
CHzUjaBUAfFGxZwb;21;Average;7;150.43
CHzUjaBUAfFGxZwb;21;Poor;4;83.76
CHzUjaBUAfFGxZwb;21;Very Fine;5;99.14
CHzUjaBUAfFGxZwb;21;Fine;8;214.20
CHzUjaBUAfFGxZwb;21;Average;6;123.61
CHzUjaBUAfFGxZwb;21;Poor;4;19.25
2nnbMpzrubMCNzRk;22;Very Fine;9;76.28
2nnbMpzrubMCNzRk;22;Fine;3;227.35
2nnbMpzrubMCNzRk;22;Average;9;52.91
2nnbMpzrubMCNzRk;22;Poor;4;162.05
dL8FNSUMcg3CtcDg;23;Very Fine;6;192.96
dL8FNSUMcg3CtcDg;23;Fine;7;84.36
dL8FNSUMcg3CtcDg;23;Average;2;38.03
dL8FNSUMcg3CtcDg;23;Poor;6;174.57
fDeUYxlkb6NnmKZN;24;Very Fine;6;244.08
fDeUYxlkb6NnmKZN;24;Fine;3;62.18
fDeUYxlkb6NnmKZN;24;Average;0;91.98
fDeUYxlkb6NnmKZN;24;Poor;4;103.86
RYwhujA6gMp4I5JT;25;Very Fine;8;169.66
