StockReferenceID;IssueID;Condition;AvailableQty;Price
1;2;Very Fine;6;188.03
2;3;Very Fine;0;99.14
3;4;Very Fine;6;90.63
4;5;Very Fine;2;171.36
5;6;Very Fine;3;49.29
6;7;Very Fine;7;77.46
7;8;Very Fine;8;41.98
8;9;Very Fine;0;19.54
9;10;Very Fine;7;71.55
10;11;Very Fine;6;205.88
11;12;Very Fine;8;188.87
12;13;Very Fine;7;196.54
13;14;Very Fine;2;18.38
14;15;Very Fine;9;219.60
15;16;Very Fine;6;186.53
16;17;Very Fine;8;9.66
17;18;Very Fine;2;58.71
18;19;Very Fine;8;120.28
19;20;Very Fine;0;43.06
20;21;Very Fine;5;169.98
21;22;Very Fine;6;214.11
22;23;Very Fine;3;0.17
23;24;Very Fine;7;120.38
24;25;Very Fine;2;123.04
25;26;Very Fine;5;31.46
26;27;Very Fine;9;49.21
27;28;Very Fine;1;188.15
28;29;Very Fine;8;97.24
29;30;Very Fine;7;207.48
30;31;Very Fine;6;19.08
31;32;Very Fine;1;9.72
32;33;Very Fine;2;205.94
33;34;Very Fine;7;114.37
34;35;Very Fine;6;39.97
35;36;Very Fine;4;151.16
36;37;Very Fine;2;41.15
37;38;Very Fine;0;201.52
38;39;Very Fine;8;187.01
39;40;Very Fine;1;116.12
40;41;Very Fine;6;62.72
41;42;Very Fine;0;90.37
42;43;Very Fine;9;110.03
43;44;Very Fine;3;20.68
44;45;Very Fine;0;58.53
45;46;Very Fine;9;221.16
46;47;Very Fine;4;186.97
47;48;Very Fine;6;55.48
48;49;Very Fine;5;161.79
49;50;Very Fine;4;159.12
50;51;Very Fine;2;142.56
51;52;Very Fine;9;146.49
52;53;Very Fine;1;180.41
53;54;Very Fine;7;75.09
54;55;Very Fine;5;69.30
55;56;Very Fine;8;53.24
56;57;Very Fine;0;231.78
57;58;Very Fine;2;77.16
58;59;Very Fine;2;172.46
59;60;Very Fine;3;52.97
60;61;Very Fine;8;133.68
61;62;Very Fine;4;175.30
62;63;Very Fine;1;2.20
63;64;Very Fine;0;205.78
64;65;Very Fine;6;220.60
65;66;Very Fine;7;145.48
66;67;Very Fine;8;24.68
67;68;Very Fine;5;65.84
68;69;Very Fine;0;236.81
69;70;Very Fine;7;39.12
70;71;Very Fine;3;157.66
71;72;Very Fine;0;171.86
72;73;Very Fine;4;44.16
73;74;Very Fine;8;96.42
74;75;Very Fine;3;181.70
75;76;Very Fine;0;177.10
76;77;Very Fine;3;74.02
77;78;Very Fine;4;37.96
78;79;Very Fine;0;52.51
79;80;Very Fine;8;4.10
80;81;Very Fine;1;226.20
81;82;Very Fine;4;124.54
82;83;Very Fine;7;224.28
83;84;Very Fine;1;84.45
84;85;Very Fine;7;95.28
85;86;Very Fine;7;216.55
86;87;Very Fine;4;162.84
87;88;Very Fine;0;7.73
88;89;Very Fine;6;88.84
89;90;Very Fine;1;102.82
90;91;Very Fine;5;31.22
91;92;Very Fine;8;102.78
92;93;Very Fine;5;30.42
93;94;Very Fine;6;100.49
94;95;Very Fine;4;178.60
95;96;Very Fine;4;215.49
96;97;Very Fine;3;157.35
97;98;Very Fine;9;182.74
98;99;Very Fine;0;25.59
99;100;Very Fine;0;223.28
100;101;Very Fine;6;223.86
101;102;Very Fine;1;102.81
102;103;Very Fine;2;69.04
103;104;Very Fine;8;225.71
